north,west,south,east
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.10125
0.0,0.0,0.0,0.10125
0.0,0.0,0.0,0.10125
0.0,0.0,0.0,0.10125
0.0,0.0,0.0,0.10125
0.0,0.0,0.0,0.10125
0.0,0.0,0.0,0.10125
0.0,0.0,0.0,0.10125
0.0,0.0,0.0,0.10125
0.0,0.0,0.0,0.10125
0.0,0.0,0.0,0.09618750000000001
0.0,0.0,0.0,0.25059375
0.0,0.0,0.0,0.25059375
0.0,0.0,0.0,0.2380640625
0.0,0.0,0.0,0.32153203125
0.0,0.0,0.0,0.32153203125
0.0,0.0,0.0,0.32153203125
