north,west,south,east
0,0,0,0
0,0,0,0
0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.10125
0.0,0.0,0.0,0.10125
0.0,0.0,0.0,0.10125
0.0,0.0,0.0,0.10125
